neighbourhood;room_type;price;number_of_reviews
Brooklyn;Private room;149;9
Manhattan;Entire home/apt;225;45
Manhattan;Private room;150;0
Brooklyn;Entire home/apt;89;270
Manhattan;Entire home/apt;80;9
Manhattan;Entire home/apt;200;74
Brooklyn;Private room;60;49
Manhattan;Private room;79;430
Manhattan;Private room;79;118
Manhattan;Entire home/apt;150;160
Manhattan;Entire home/apt;135;53
Manhattan;Private room;85;188
Brooklyn;Private room;89;167
Manhattan;Private room;85;113
Manhattan;Entire home/apt;120;27
Brooklyn;Entire home/apt;140;148
Brooklyn;Entire home/apt;215;198
Manhattan;Private room;140;260
Brooklyn;Entire home/apt;99;53
Manhattan;Entire home/apt;190;0
Brooklyn;Entire home/apt;299;9
Brooklyn;Private room;130;130
Brooklyn;Private room;80;39
Brooklyn;Private room;110;71
Brooklyn;Entire home/apt;120;88
Brooklyn;Private room;60;19
Manhattan;Private room;80;0
Manhattan;Entire home/apt;150;58
Manhattan;Private room;44;108
Manhattan;Entire home/apt;180;29
Manhattan;Private room;50;242
Manhattan;Private room;52;88
Brooklyn;Private room;55;197
Manhattan;Private room;50;273
Brooklyn;Private room;70;74
Brooklyn;Private room;89;168
Brooklyn;Private room;35;0
Brooklyn;Entire home/apt;85;231
Brooklyn;Private room;150;0
Manhattan;Shared room;40;214
Manhattan;Private room;68;245
Brooklyn;Entire home/apt;120;15
Brooklyn;Private room;120;25
Manhattan;Private room;135;81
Manhattan;Entire home/apt;150;97
Brooklyn;Entire home/apt;150;11
Queens;Private room;130;248
Brooklyn;Entire home/apt;110;61
Brooklyn;Entire home/apt;115;11
Brooklyn;Private room;80;135
Brooklyn;Private room;80;112
Manhattan;Entire home/apt;151;73
Brooklyn;Entire home/apt;228;82
Brooklyn;Entire home/apt;144;328
Manhattan;Entire home/apt;200;19
Brooklyn;Entire home/apt;150;105
Manhattan;Private room;110;19
Manhattan;Private room;69;289
Brooklyn;Private room;49;138
Manhattan;Entire home/apt;180;21
Brooklyn;Private room;80;42
Manhattan;Entire home/apt;375;5
Manhattan;Entire home/apt;250;66
Brooklyn;Entire home/apt;200;143
Brooklyn;Private room;55;27
Manhattan;Private room;52;191
Brooklyn;Entire home/apt;225;4
Manhattan;Private room;80;338
Brooklyn;Entire home/apt;275;148
Manhattan;Private room;99;106
Manhattan;Entire home/apt;225;190
Manhattan;Entire home/apt;230;49
Manhattan;Private room;51;23
Manhattan;Private room;65;49
Brooklyn;Private room;105;105
Manhattan;Entire home/apt;190;21
Manhattan;Private room;200;142
Queens;Private room;70;25
Brooklyn;Private room;95;143
Manhattan;Private room;150;167
Brooklyn;Private room;145;61
Manhattan;Entire home/apt;110;54
Manhattan;Entire home/apt;285;70
Brooklyn;Entire home/apt;130;16
Manhattan;Private room;94;94
Brooklyn;Entire home/apt;800;25
Brooklyn;Entire home/apt;105;61
Manhattan;Private room;60;194
Manhattan;Private room;50;2
Brooklyn;Private room;85;174
Brooklyn;Private room;65;24
Brooklyn;Entire home/apt;131;166
Brooklyn;Private room;98;16
Brooklyn;Entire home/apt;250;21
Brooklyn;Entire home/apt;100;168
Brooklyn;Entire home/apt;105;118
Manhattan;Entire home/apt;140;81
Manhattan;Private room;89;1
Manhattan;Private room;98;30
Brooklyn;Entire home/apt;125;139
Manhattan;Private room;60;11
Brooklyn;Entire home/apt;175;233
Manhattan;Private room;65;68
Manhattan;Entire home/apt;500;46
Brooklyn;Private room;101;335
Brooklyn;Entire home/apt;220;88
Brooklyn;Entire home/apt;125;162
Brooklyn;Entire home/apt;80;29
Manhattan;Private room;100;170
Brooklyn;Entire home/apt;200;19
Manhattan;Private room;59;334
Brooklyn;Private room;125;19
Manhattan;Entire home/apt;140;12
Brooklyn;Entire home/apt;120;467
Manhattan;Entire home/apt;350;7
Manhattan;Entire home/apt;199;38
Brooklyn;Entire home/apt;325;324
Manhattan;Entire home/apt;235;27
Manhattan;Entire home/apt;225;115
Brooklyn;Private room;99;354
Manhattan;Entire home/apt;170;195
Brooklyn;Entire home/apt;400;16
Manhattan;Entire home/apt;170;13
Manhattan;Entire home/apt;100;25
Brooklyn;Private room;75;9
Brooklyn;Private room;90;9
Manhattan;Entire home/apt;150;21
Manhattan;Private room;85;36
Brooklyn;Private room;70;63
Manhattan;Entire home/apt;120;155
Brooklyn;Private room;89;260
Manhattan;Entire home/apt;185;73
Brooklyn;Private room;50;193
Manhattan;Entire home/apt;105;32
Manhattan;Private room;130;50
Manhattan;Entire home/apt;115;26
Brooklyn;Private room;77;2
Brooklyn;Private room;76;426
Brooklyn;Entire home/apt;125;227
Brooklyn;Private room;135;84
Brooklyn;Entire home/apt;250;3
Brooklyn;Entire home/apt;199;10
Brooklyn;Entire home/apt;140;4
Queens;Private room;140;1
Brooklyn;Entire home/apt;115;124
